dataset,raw_name,harmonized_name,action,timestamp
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977736
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977741
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977747
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977753
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977758
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977764
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977770
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977775
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977781
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977786
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980261
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980305
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980311
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980315
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980320
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980426
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980434
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980439
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980446
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980451
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980457
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980461
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980466
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980474
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980481
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980485
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980489
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980494
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980500
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980504
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980508
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980515
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980520
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980525
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980530
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980536
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980540
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980544
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980549
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980557
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980561
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980566
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980570
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980575
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980579
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980583
