state_name_harmonized,cause_group,dalys_n,deaths_n,Incidence,Prevalence,ylds_n,ylls_n,yll_fraction,yld_fraction,yld_yll_ratio
Gujarat,burns,134820.29200125445,2527.220944120304,60314.79294845605,613897.4275612609,20457.368009810736,114362.92399144366,0.8482619514752242,0.1517380485247754,0.1788811206973101
Gujarat,drowning,164818.7920115382,2960.504250731116,7901.212755241115,19642.010423303305,979.4717418689196,163839.3202696692,0.9940572811515301,0.005942718848469362,0.005978245882958809
Gujarat,falls,638123.3503167693,13463.2523214669,2696732.7725123027,5889329.367280948,279266.03281968506,358857.3174970847,0.5623635576396713,0.43763644236032934,0.7782091076405424
Gujarat,intentional_all,876163.2235681866,16634.85709573207,329299.1440579141,2968143.658276122,59543.80036071023,816619.4232074763,0.9320402879748623,0.06795971202513762,0.07291499402112812
Gujarat,other_transport,72338.53724646155,1478.045511963968,16167.553435325848,71515.5017625515,4449.6617788314015,67888.8754676302,0.9384883639038609,0.061511636096139855,0.06554331248207264
Gujarat,other_unintentional,56088.54275213996,95.9116567366738,16926.42321454491,789430.6466365515,19431.777314115887,11323.662136181045,0.20188904151461504,0.34644824701519816,1.7160329476828897
Gujarat,poisoning,34154.99552931399,658.9746849290743,5098.925224163189,7582.129397123545,694.9938613541289,33460.00166795989,0.9796517654128338,0.020348234587167228,0.020770885436614615
Gujarat,road,829702.556030037,3739.3001344349686,308958.3532539465,764576.9238486737,48557.79347498816,781144.7625550483,0.9414756612208981,0.0585243387791013,0.06216234916068611
Gujarat,self_harm,646077.4607076116,12852.420046352225,66937.64414836596,209128.7796385552,11459.748190021352,634617.7125175906,0.9822625785807946,0.017737421419205902,0.018057718787204045
Gujarat,transport_all,902041.0932764984,18693.562228519208,325125.90668927226,834849.8810436745,53007.45525381956,849033.6380226784,0.9412360970593034,0.05876390294069611,0.062432691568344766
Gujarat,unintentional_all,1386997.7375583574,27332.766996318107,5008212.4622395625,9142332.522482824,391003.4514071824,995994.2861511736,0.7180936631551409,0.2819063368448581,0.3925759985211755
Gujarat,violence,227981.65043654267,3771.947964080533,253821.2201006976,2736178.9278308945,46660.10706406852,181321.54337247435,0.7953339359780804,0.20466606402192042,0.2573334982496724
Haryana,all_injuries,1352668.5956647734,25307.562546202145,2627836.4628664395,5614010.690243571,235599.40952316727,1117069.1861416046,0.825826214729719,0.17417378527027988,0.21090852065925814
Haryana,burns,44313.03473737359,773.3552245512728,23903.2343620018,237278.27705060825,7617.365458421087,36695.669278952526,0.8281010203077654,0.171898979692235,0.207582137295699
Haryana,drowning,70216.94962112153,1197.4679160577764,2642.711809811637,6692.5795830214565,328.7668414688874,69888.18277965259,0.9953178421557344,0.004682157844264899,0.004704183574288118
Haryana,falls,284949.9819036226,5294.872962668687,1465033.0154827726,3141684.728226161,145876.9457865673,139073.0361170553,0.48806122108859573,0.5119387789114042,1.0489232841928124
