state_name_harmonized,year,cause_ncrb,deaths_n,source,note
Lakshadweep,2023,fire_burns,0,ncrb_adsi_2023,police-reported accidental deaths
Puducherry,2023,fire_burns,5,ncrb_adsi_2023,police-reported accidental deaths
Andhra Pradesh,2023,road_accidents,8137,ncrb_adsi_2023,police-reported accidental deaths
Arunachal Pradesh,2023,road_accidents,136,ncrb_adsi_2023,police-reported accidental deaths
Assam,2023,road_accidents,3296,ncrb_adsi_2023,police-reported accidental deaths
Bihar,2023,road_accidents,8873,ncrb_adsi_2023,police-reported accidental deaths
Chhattisgarh,2023,road_accidents,6166,ncrb_adsi_2023,police-reported accidental deaths
Goa,2023,road_accidents,292,ncrb_adsi_2023,police-reported accidental deaths
Gujarat,2023,road_accidents,7854,ncrb_adsi_2023,police-reported accidental deaths
Haryana,2023,road_accidents,5401,ncrb_adsi_2023,police-reported accidental deaths
Himachal Pradesh,2023,road_accidents,885,ncrb_adsi_2023,police-reported accidental deaths
Jharkhand,2023,road_accidents,4173,ncrb_adsi_2023,police-reported accidental deaths
Karnataka,2023,road_accidents,12322,ncrb_adsi_2023,police-reported accidental deaths
Kerala,2023,road_accidents,4080,ncrb_adsi_2023,police-reported accidental deaths
Madhya Pradesh,2023,road_accidents,14098,ncrb_adsi_2023,police-reported accidental deaths
Maharashtra,2023,road_accidents,15434,ncrb_adsi_2023,police-reported accidental deaths
Manipur,2023,road_accidents,73,ncrb_adsi_2023,police-reported accidental deaths
Meghalaya,2023,road_accidents,168,ncrb_adsi_2023,police-reported accidental deaths
Mizoram,2023,road_accidents,49,ncrb_adsi_2023,police-reported accidental deaths
Nagaland,2023,road_accidents,37,ncrb_adsi_2023,police-reported accidental deaths
Odisha,2023,road_accidents,5737,ncrb_adsi_2023,police-reported accidental deaths
Punjab,2023,road_accidents,4906,ncrb_adsi_2023,police-reported accidental deaths
Rajasthan,2023,road_accidents,11932,ncrb_adsi_2023,police-reported accidental deaths
Sikkim,2023,road_accidents,68,ncrb_adsi_2023,police-reported accidental deaths
Tamil Nadu,2023,road_accidents,18347,ncrb_adsi_2023,police-reported accidental deaths
Telangana,2023,road_accidents,7660,ncrb_adsi_2023,police-reported accidental deaths
Tripura,2023,road_accidents,261,ncrb_adsi_2023,police-reported accidental deaths
Uttarakhand,2023,road_accidents,1054,ncrb_adsi_2023,police-reported accidental deaths
Uttar Pradesh,2023,road_accidents,23947,ncrb_adsi_2023,police-reported accidental deaths
West Bengal,2023,road_accidents,5703,ncrb_adsi_2023,police-reported accidental deaths
Andaman & Nicobar Islands,2023,road_accidents,27,ncrb_adsi_2023,police-reported accidental deaths
Chandigarh,2023,road_accidents,67,ncrb_adsi_2023,police-reported accidental deaths
Dadra & Nagar Haveli and Daman & Diu,2023,road_accidents,81,ncrb_adsi_2023,police-reported accidental deaths
Delhi,2023,road_accidents,1457,ncrb_adsi_2023,police-reported accidental deaths
Jammu & Kashmir,2023,road_accidents,897,ncrb_adsi_2023,police-reported accidental deaths
Ladakh,2023,road_accidents,59,ncrb_adsi_2023,police-reported accidental deaths
Lakshadweep,2023,road_accidents,0,ncrb_adsi_2023,police-reported accidental deaths
Puducherry,2023,road_accidents,149,ncrb_adsi_2023,police-reported accidental deaths
Andhra Pradesh,2023,poisoning,435,ncrb_adsi_2023,police-reported accidental deaths
Arunachal Pradesh,2023,poisoning,1,ncrb_adsi_2023,police-reported accidental deaths
Assam,2023,poisoning,74,ncrb_adsi_2023,police-reported accidental deaths
Bihar,2023,poisoning,501,ncrb_adsi_2023,police-reported accidental deaths
Chhattisgarh,2023,poisoning,1362,ncrb_adsi_2023,police-reported accidental deaths
Goa,2023,poisoning,7,ncrb_adsi_2023,police-reported accidental deaths
Gujarat,2023,poisoning,597,ncrb_adsi_2023,police-reported accidental deaths
Haryana,2023,poisoning,790,ncrb_adsi_2023,police-reported accidental deaths
Himachal Pradesh,2023,poisoning,140,ncrb_adsi_2023,police-reported accidental deaths
Jharkhand,2023,poisoning,356,ncrb_adsi_2023,police-reported accidental deaths
Karnataka,2023,poisoning,2241,ncrb_adsi_2023,police-reported accidental deaths
Kerala,2023,poisoning,106,ncrb_adsi_2023,police-reported accidental deaths
Madhya Pradesh,2023,poisoning,4590,ncrb_adsi_2023,police-reported accidental deaths
Maharashtra,2023,poisoning,1454,ncrb_adsi_2023,police-reported accidental deaths
Manipur,2023,poisoning,0,ncrb_adsi_2023,police-reported accidental deaths
Meghalaya,2023,poisoning,3,ncrb_adsi_2023,police-reported accidental deaths
Mizoram,2023,poisoning,1,ncrb_adsi_2023,police-reported accidental deaths
Nagaland,2023,poisoning,0,ncrb_adsi_2023,police-reported accidental deaths
Odisha,2023,poisoning,1157,ncrb_adsi_2023,police-reported accidental deaths
Punjab,2023,poisoning,688,ncrb_adsi_2023,police-reported accidental deaths
Rajasthan,2023,poisoning,2622,ncrb_adsi_2023,police-reported accidental deaths
Sikkim,2023,poisoning,3,ncrb_adsi_2023,police-reported accidental deaths
Tamil Nadu,2023,poisoning,1594,ncrb_adsi_2023,police-reported accidental deaths
Telangana,2023,poisoning,276,ncrb_adsi_2023,police-reported accidental deaths
Tripura,2023,poisoning,2,ncrb_adsi_2023,police-reported accidental deaths
Uttarakhand,2023,poisoning,195,ncrb_adsi_2023,police-reported accidental deaths
Uttar Pradesh,2023,poisoning,1655,ncrb_adsi_2023,police-reported accidental deaths
West Bengal,2023,poisoning,811,ncrb_adsi_2023,police-reported accidental deaths
Andaman & Nicobar Islands,2023,poisoning,1,ncrb_adsi_2023,police-reported accidental deaths
Chandigarh,2023,poisoning,6,ncrb_adsi_2023,police-reported accidental deaths
Dadra & Nagar Haveli and Daman & Diu,2023,poisoning,2,ncrb_adsi_2023,police-reported accidental deaths
Delhi,2023,poisoning,64,ncrb_adsi_2023,police-reported accidental deaths
Jammu & Kashmir,2023,poisoning,40,ncrb_adsi_2023,police-reported accidental deaths
Ladakh,2023,poisoning,4,ncrb_adsi_2023,police-reported accidental deaths
Lakshadweep,2023,poisoning,0,ncrb_adsi_2023,police-reported accidental deaths
Puducherry,2023,poisoning,7,ncrb_adsi_2023,police-reported accidental deaths
Andhra Pradesh,2023,suicide_total,8684,ncrb_adsi_2023,police-reported accidental deaths
Arunachal Pradesh,2023,suicide_total,128,ncrb_adsi_2023,police-reported accidental deaths
Assam,2023,suicide_total,3051,ncrb_adsi_2023,police-reported accidental deaths
Bihar,2023,suicide_total,926,ncrb_adsi_2023,police-reported accidental deaths
Chhattisgarh,2023,suicide_total,7868,ncrb_adsi_2023,police-reported accidental deaths
Goa,2023,suicide_total,327,ncrb_adsi_2023,police-reported accidental deaths
Gujarat,2023,suicide_total,8948,ncrb_adsi_2023,police-reported accidental deaths
Haryana,2023,suicide_total,3361,ncrb_adsi_2023,police-reported accidental deaths
Himachal Pradesh,2023,suicide_total,818,ncrb_adsi_2023,police-reported accidental deaths
Jharkhand,2023,suicide_total,2006,ncrb_adsi_2023,police-reported accidental deaths
Karnataka,2023,suicide_total,13330,ncrb_adsi_2023,police-reported accidental deaths
Kerala,2023,suicide_total,10972,ncrb_adsi_2023,police-reported accidental deaths
Madhya Pradesh,2023,suicide_total,15662,ncrb_adsi_2023,police-reported accidental deaths
Maharashtra,2023,suicide_total,22687,ncrb_adsi_2023,police-reported accidental deaths
Manipur,2023,suicide_total,25,ncrb_adsi_2023,police-reported accidental deaths
Meghalaya,2023,suicide_total,220,ncrb_adsi_2023,police-reported accidental deaths
Mizoram,2023,suicide_total,98,ncrb_adsi_2023,police-reported accidental deaths
Nagaland,2023,suicide_total,36,ncrb_adsi_2023,police-reported accidental deaths
Odisha,2023,suicide_total,5989,ncrb_adsi_2023,police-reported accidental deaths
Punjab,2023,suicide_total,2298,ncrb_adsi_2023,police-reported accidental deaths
Rajasthan,2023,suicide_total,5552,ncrb_adsi_2023,police-reported accidental deaths
Sikkim,2023,suicide_total,278,ncrb_adsi_2023,police-reported accidental deaths
Tamil Nadu,2023,suicide_total,19483,ncrb_adsi_2023,police-reported accidental deaths
Telangana,2023,suicide_total,10580,ncrb_adsi_2023,police-reported accidental deaths
Tripura,2023,suicide_total,644,ncrb_adsi_2023,police-reported accidental deaths
Uttarakhand,2023,suicide_total,940,ncrb_adsi_2023,police-reported accidental deaths
Uttar Pradesh,2023,suicide_total,9154,ncrb_adsi_2023,police-reported accidental deaths
West Bengal,2023,suicide_total,12819,ncrb_adsi_2023,police-reported accidental deaths
Andaman & Nicobar Islands,2023,suicide_total,200,ncrb_adsi_2023,police-reported accidental deaths
Chandigarh,2023,suicide_total,150,ncrb_adsi_2023,police-reported accidental deaths
Dadra & Nagar Haveli and Daman & Diu,2023,suicide_total,201,ncrb_adsi_2023,police-reported accidental deaths
Delhi,2023,suicide_total,3131,ncrb_adsi_2023,police-reported accidental deaths
Jammu & Kashmir,2023,suicide_total,365,ncrb_adsi_2023,police-reported accidental deaths
Ladakh,2023,suicide_total,19,ncrb_adsi_2023,police-reported accidental deaths
Lakshadweep,2023,suicide_total,3,ncrb_adsi_2023,police-reported accidental deaths
Puducherry,2023,suicide_total,465,ncrb_adsi_2023,police-reported accidental deaths
Andhra Pradesh,2023,total_accidental,16885,ncrb_adsi_2023,police-reported accidental deaths
Arunachal Pradesh,2023,total_accidental,321,ncrb_adsi_2023,police-reported accidental deaths
Assam,2023,total_accidental,5311,ncrb_adsi_2023,police-reported accidental deaths
Bihar,2023,total_accidental,15802,ncrb_adsi_2023,police-reported accidental deaths
Chhattisgarh,2023,total_accidental,15781,ncrb_adsi_2023,police-reported accidental deaths
Goa,2023,total_accidental,724,ncrb_adsi_2023,police-reported accidental deaths
Gujarat,2023,total_accidental,22911,ncrb_adsi_2023,police-reported accidental deaths
Haryana,2023,total_accidental,16087,ncrb_adsi_2023,police-reported accidental deaths
Himachal Pradesh,2023,total_accidental,2912,ncrb_adsi_2023,police-reported accidental deaths
Jharkhand,2023,total_accidental,7999,ncrb_adsi_2023,police-reported accidental deaths
Karnataka,2023,total_accidental,29907,ncrb_adsi_2023,police-reported accidental deaths
Kerala,2023,total_accidental,14936,ncrb_adsi_2023,police-reported accidental deaths
Madhya Pradesh,2023,total_accidental,42531,ncrb_adsi_2023,police-reported accidental deaths
Maharashtra,2023,total_accidental,69497,ncrb_adsi_2023,police-reported accidental deaths
Manipur,2023,total_accidental,195,ncrb_adsi_2023,police-reported accidental deaths
Meghalaya,2023,total_accidental,488,ncrb_adsi_2023,police-reported accidental deaths
Mizoram,2023,total_accidental,297,ncrb_adsi_2023,police-reported accidental deaths
Nagaland,2023,total_accidental,72,ncrb_adsi_2023,police-reported accidental deaths
Odisha,2023,total_accidental,20954,ncrb_adsi_2023,police-reported accidental deaths
Punjab,2023,total_accidental,10838,ncrb_adsi_2023,police-reported accidental deaths
