state_name_harmonized,gbd_road_dalys_n,gbd_road_deaths_n,morth_road_deaths_n,rank_gbd_road_dalys,rank_gbd_road_deaths,rank_morth_road_deaths,rank_mismatch_daly_vs_morth,notable_mismatch,rank_mismatch_gbd_death_vs_morth
Odisha,,9413.201605552476,,94.0,14.0,124.5,-30.5,True,-110.5
Odisha,,2096.562619101373,,94.0,64.0,124.5,-30.5,True,-60.5
Odisha,,1128.1366388317645,,94.0,82.0,124.5,-30.5,True,-42.5
Odisha,,3550.068084015729,,94.0,48.0,124.5,-30.5,True,-76.5
Odisha,,2542.567860533118,,94.0,59.0,124.5,-30.5,True,-65.5
Odisha,,95.86640307048242,,94.0,139.0,124.5,-30.5,True,14.5
Other Union Territories,,3.458289963816964,,94.0,178.0,124.5,-30.5,True,53.5
Other Union Territories,,828.6940116167268,,94.0,91.0,124.5,-30.5,True,-33.5
Other Union Territories,,221.44184049981305,,94.0,125.0,124.5,-30.5,True,0.5
Other Union Territories,,53.870429661754514,,94.0,154.0,124.5,-30.5,True,29.5
Other Union Territories,,399.3707183140142,,94.0,110.0,124.5,-30.5,True,-14.5
Other Union Territories,,150.55273317732804,,94.0,128.0,124.5,-30.5,True,3.5
Punjab,,8382.881857254393,,94.0,18.0,124.5,-30.5,True,-106.5
Punjab,,1765.2281244541089,,94.0,73.0,124.5,-30.5,True,-51.5
Punjab,,1057.504316569756,,94.0,84.0,124.5,-30.5,True,-40.5
Punjab,,3678.691172230724,,94.0,46.0,124.5,-30.5,True,-78.5
Punjab,,1829.8523359590308,,94.0,71.0,124.5,-30.5,True,-53.5
Punjab,,51.60590804077317,,94.0,157.0,124.5,-30.5,True,32.5
Rajasthan,,14771.263866491296,11762.0,94.0,8.0,34.5,59.5,True,-26.5
Rajasthan,,3913.1449470306034,11762.0,94.0,43.0,34.5,59.5,True,8.5
Rajasthan,,770.1383677504738,11762.0,94.0,94.0,34.5,59.5,True,59.5
Rajasthan,,6600.6994015649725,11762.0,94.0,25.0,34.5,59.5,True,-9.5
Rajasthan,,3366.6419595391494,11762.0,94.0,51.0,34.5,59.5,True,16.5
Rajasthan,,120.63919060610353,11762.0,94.0,134.0,34.5,59.5,True,99.5
Sikkim,,74.24776092062139,,94.0,149.0,124.5,-30.5,True,24.5
Sikkim,,22.924664342744823,,94.0,166.0,124.5,-30.5,True,41.5
Sikkim,,2.883262447583112,,94.0,181.0,124.5,-30.5,True,56.5
Sikkim,,12.336543174241216,,94.0,174.0,124.5,-30.5,True,49.5
Sikkim,,35.55214635303052,,94.0,161.0,124.5,-30.5,True,36.5
Sikkim,,0.55114460302172,,94.0,186.0,124.5,-30.5,True,61.5
Tamil Nadu,,18374.883734153223,18347.0,94.0,4.0,10.5,83.5,True,-6.5
Tamil Nadu,,4340.085093976728,18347.0,94.0,39.0,10.5,83.5,True,28.5
Tamil Nadu,,1854.621130734318,18347.0,94.0,69.0,10.5,83.5,True,58.5
Tamil Nadu,,7999.543871996404,18347.0,94.0,21.0,10.5,83.5,True,10.5
Tamil Nadu,,4055.285612127204,18347.0,94.0,42.0,10.5,83.5,True,31.5
Tamil Nadu,,125.34802531856968,18347.0,94.0,131.0,10.5,83.5,True,120.5
Telangana,,13310.886617844531,7660.0,94.0,10.0,58.5,35.5,True,-48.5
Telangana,,4323.950293767766,7660.0,94.0,40.0,58.5,35.5,True,-18.5
